Text,Category,Urgency
Pipe burst on the narrow bridge is obstructing traffic and wasting water.,Water Supply & Drainage,High
Water is dripping from the ceiling of the subway due to pipe damage.,Water Supply & Drainage,High
The public tap handle is loose and water is leaking from the stem.,Water Supply & Drainage,Medium
Routine maintenance needed for the leaky joints in the colony pipeline.,Water Supply & Drainage,Low
Water is gushing from a cracked pipe under the main arterial road.,Water Supply & Drainage,High
The pressure relief valve is stuck open and discharging water.,Water Supply & Drainage,Medium
A small amount of water is leaking from the tank overflow pipe.,Water Supply & Drainage,Low
Large sinkhole forming because of an underground water pipe leak.,Water Supply & Drainage,High
Water is spraying onto passing vehicles from a broken pipe near the flyover.,Water Supply & Drainage,Medium
Requesting a check on the damp soil near the water supply line.,Water Supply & Drainage,Low
Water pipe burst in the market area is destroying the temporary stalls.,Water Supply & Drainage,High
The gasket in the water meter is leaking during the supply timing.,Water Supply & Drainage,Medium
A minor drip from the end-cap of the water line near the library.,Water Supply & Drainage,Low
Drinking water is flowing into the gutter from a broken service line.,Water Supply & Drainage,High
Water is bubbling up from the middle of the road near the post office.,Water Supply & Drainage,High
The bypass valve is leaking water into the dry channel.,Water Supply & Drainage,Medium
Requesting the repair of the leaking tap near the community center.,Water Supply & Drainage,Low
High-volume water leak near the industrial estate entrance.,Water Supply & Drainage,High
Water is dripping onto the sidewalk from a leaky overhead supply line.,Water Supply & Drainage,Medium
A small leak in the PVC pipe near the garden fence.,Water Supply & Drainage,Low
Main pipe has cracked near the water reservoir outlet.,Water Supply & Drainage,High
Water is leaking from the pressure gauge connection on the main line.,Water Supply & Drainage,Medium
Slight leakage at the pipe elbow near the school playground.,Water Supply & Drainage,Low
Water is flooding the intersection after the main pipe failed.,Water Supply & Drainage,High
The control valve is leaking and cannot be fully closed.,Water Supply & Drainage,Medium
A small leak in the water pipe near the park bench.,Water Supply & Drainage,Low
Large quantities of water are being lost due to a pipe split near the airport.,Water Supply & Drainage,High
Water is seeping into the road foundation from a leaky joint.,Water Supply & Drainage,Medium
Requesting a patch for the small pinhole leak in the metal pipe.,Water Supply & Drainage,Low
Water is spraying from the pipe near the electrical substation.,Water Supply & Drainage,High
A broken pipe is causing water to accumulate near the bus stop.,Water Supply & Drainage,Medium
Minor leak in the water connection to the public fountain.,Water Supply & Drainage,Low
Pipe burst has created a large water pool on the ring road.,Water Supply & Drainage,High
Water is dripping from the bridge structure due to a pipe leak.,Water Supply & Drainage,Medium
Requesting the replacement of a leaky washer in the public tap.,Water Supply & Drainage,Low
Massive water leak is causing a traffic jam on the main road.,Water Supply & Drainage,High
"The water meter is spinning even when taps are off, indicating a leak.",Water Supply & Drainage,Medium
A small leak in the water pipe near the temple gate.,Water Supply & Drainage,Low
Drinking water is being wasted in large amounts near the hospital entrance.,Water Supply & Drainage,High
Water is leaking from the joint of the new pipeline extension.,Water Supply & Drainage,Medium
Slight dampness on the ground near the main water valve.,Water Supply & Drainage,Low
Water pipe has burst and is flooding the local playground.,Water Supply & Drainage,High
The water pressure is very low due to multiple leaks in the line.,Water Supply & Drainage,Medium
A small drip from the pipe near the community library entrance.,Water Supply & Drainage,Low
Water is gushing out from a broken pipe near the police station.,Water Supply & Drainage,High
The flange on the water main is leaking under high pressure.,Water Supply & Drainage,Medium
Requesting a checkup for the leaky tap near the primary school.,Water Supply & Drainage,Low
Water is bubbling up through the road surface near the market square.,Water Supply & Drainage,High
A steady stream of water is leaking from the broken service valve.,Water Supply & Drainage,Medium
Small leak in the water supply pipe near the residential park.,Water Supply & Drainage,Low
Major pipeline failure is wasting drinking water near the city center.,Water Supply & Drainage,High
Water is leaking from the pipe joint near the 5th Cross intersection.,Water Supply & Drainage,Medium
Requesting the repair of the leaky standpost near the bus stand.,Water Supply & Drainage,Low
Water is flooding the street after a heavy vehicle crushed the pipe.,Water Supply & Drainage,High
The water valve is leaking and causing a puddle on the sidewalk.,Water Supply & Drainage,Medium
A minor leak in the water line near the community hall.,Water Supply & Drainage,Low
Water is spraying from the pipe near the highway toll plaza.,Water Supply & Drainage,High
The connection to the overhead tank is leaking water.,Water Supply & Drainage,Medium
Requesting a fix for the dripping tap in the public park.,Water Supply & Drainage,Low
Massive water leak near the railway station is causing chaos.,Water Supply & Drainage,High
Water is leaking from the underground pipe near the apartment gate.,Water Supply & Drainage,Medium
A small leak in the pipe near the temple fountain.,Water Supply & Drainage,Low
Drinking water is gushing out from the broken main near the hospital.,Water Supply & Drainage,High
The pipe joint is leaking and wasting water in the industrial area.,Water Supply & Drainage,Medium
Slight leakage from the water meter near the school.,Water Supply & Drainage,Low
Water pipe has burst and is flooding the basement of the clinic.,Water Supply & Drainage,High
The water pressure is droping due to a major leak on the main road.,Water Supply & Drainage,High
A small drip from the pipe near the post office entrance.,Water Supply & Drainage,Low
Water is bubbling up from the ground near the metro pillar.,Water Supply & Drainage,High
The valve handle is leaking water whenever it is turned.,Water Supply & Drainage,Medium
Requesting the repair of the leaky tap near the park entrance.,Water Supply & Drainage,Low
Water is spraying from the pipe near the bridge pillar.,Water Supply & Drainage,High
The pipe flange is leaking water near the reservoir.,Water Supply & Drainage,Medium
A small leak in the water supply pipe near the school fence.,Water Supply & Drainage,Low
Drinking water is being wasted due to a pipe burst near the market.,Water Supply & Drainage,High
Water is leaking from the pipe joint near the 2nd Cross road.,Water Supply & Drainage,Medium
Requesting the repair of the leaky tap near the temple square.,Water Supply & Drainage,Low
Water is flooding the street after the pipe split open near the bypass.,Water Supply & Drainage,High
The water valve is leaking and causing a wet patch on the road.,Water Supply & Drainage,Medium
A minor leak in the water line near the library.,Water Supply & Drainage,Low
Water is gushing from the pipe near the airport entrance.,Water Supply & Drainage,High
The connection to the water tank is leaking significantly.,Water Supply & Drainage,Medium
Requesting a fix for the dripping tap near the bus stop.,Water Supply & Drainage,Low
Massive water leak near the hospital is a major concern.,Water Supply & Drainage,High
Water is leaking from the underground pipe near the school gate.,Water Supply & Drainage,Medium
A small leak in the pipe near the community garden.,Water Supply & Drainage,Low
Drinking water is spraying from the broken main near the intersection.,Water Supply & Drainage,High
The pipe joint is leaking and wasting water in the market area.,Water Supply & Drainage,Medium
Slight leakage from the water meter near the library.,Water Supply & Drainage,Low
Water pipe has burst and is flooding the road near the temple.,Water Supply & Drainage,High
The water pressure is very low due to a hidden leak in the lane.,Water Supply & Drainage,Medium
A small drip from the pipe near the park exit.,Water Supply & Drainage,Low
Water is bubbling up from the road near the market entrance.,Water Supply & Drainage,High
The valve is leaking water even when it is fully closed.,Water Supply & Drainage,Medium
Requesting the repair of the leaky tap near the hospital entrance.,Water Supply & Drainage,Low
Water is gushing out from a broken pipe near the ring road.,Water Supply & Drainage,High
The pipe flange is leaking water near the pump house.,Water Supply & Drainage,Medium
A small leak in the water pipe near the playground entrance.,Water Supply & Drainage,Low
Drinking water is being wasted in large amounts near the school.,Water Supply & Drainage,High
Water is leaking from the joint of the main supply line.,Water Supply & Drainage,Medium
Requesting the repair of the leaky standpost near the temple.,Water Supply & Drainage,Low
Water is flooding the street after a pipe burst near the bus stand.,Water Supply & Drainage,High
The water valve is leaking and causing a puddle on the pavement.,Water Supply & Drainage,Medium
A minor leak in the water line near the residential park.,Water Supply & Drainage,Low
Water is spraying from the pipe near the highway exit ramp.,Water Supply & Drainage,High
The connection to the community tank is leaking water.,Water Supply & Drainage,Medium
Requesting a fix for the dripping tap in the public park.,Water Supply & Drainage,Low
Massive water leak near the metro station is causing traffic delays.,Water Supply & Drainage,High
Water is leaking from the underground pipe near the park entrance.,Water Supply & Drainage,Medium
A small leak in the pipe near the community library.,Water Supply & Drainage,Low
Drinking water is gushing out from the broken main near the bypass.,Water Supply & Drainage,High
The pipe joint is leaking and wasting water near the industrial gate.,Water Supply & Drainage,Medium
Slight leakage from the water meter near the temple gate.,Water Supply & Drainage,Low
Water pipe has burst and is flooding the road near the market signal.,Water Supply & Drainage,High
The water pressure is dropping due to a major leak in the main line.,Water Supply & Drainage,High
A small drip from the pipe near the bus stop entrance.,Water Supply & Drainage,Low
Water is bubbling up from the ground near the flyover pillar.,Water Supply & Drainage,High
The valve handle is leaking water whenever the supply starts.,Water Supply & Drainage,Medium
Requesting the repair of the leaky tap near the primary school.,Water Supply & Drainage,Low
Water is gushing from the pipe near the highway entrance.,Water Supply & Drainage,High
The pipe flange is leaking water near the distribution tank.,Water Supply & Drainage,Medium
A small leak in the water supply pipe near the residential gate.,Water Supply & Drainage,Low
Drinking water is being wasted due to a pipe burst near the city hospital.,Water Supply & Drainage,High
Water is leaking from the pipe joint near the 4th Cross road.,Water Supply & Drainage,Medium
Requesting the repair of the leaky tap near the park exit.,Water Supply & Drainage,Low
Water is flooding the street after the pipe split open near the ring road.,Water Supply & Drainage,High
The water valve is leaking and causing a wet patch on the sidewalk.,Water Supply & Drainage,Medium
A minor leak in the water line near the community garden.,Water Supply & Drainage,Low
Water is gushing from the pipe near the highway toll plaza entrance.,Water Supply & Drainage,High
The connection to the overhead tank is leaking significantly near the school.,Water Supply & Drainage,Medium
Requesting a fix for the dripping tap near the library entrance.,Water Supply & Drainage,Low
Massive water leak near the university is causing traffic chaos.,Water Supply & Drainage,High
Water is leaking from the underground pipe near the hospital gate.,Water Supply & Drainage,Medium
A small leak in the pipe near the temple entrance.,Water Supply & Drainage,Low
Drinking water is gushing out from the broken main near the railway crossing.,Water Supply & Drainage,High
The pipe joint is leaking and wasting water near the market bus stand.,Water Supply & Drainage,Medium
Slight leakage from the water meter near the post office.,Water Supply & Drainage,Low
Water pipe has burst and is flooding the road near the park gate.,Water Supply & Drainage,High
The water pressure is very low due to a hidden leak in the main lane.,Water Supply & Drainage,Medium
A small drip from the pipe near the library exit gate.,Water Supply & Drainage,Low
Water is bubbling up from the road near the school entrance.,Water Supply & Drainage,High
The valve is leaking water even when the supply is supposedly off.,Water Supply & Drainage,Medium
Requesting the repair of the leaky tap near the park entrance.,Water Supply & Drainage,Low
Water is gushing out from a broken pipe near the city hall.,Water Supply & Drainage,High
The pipe flange is leaking water near the water works.,Water Supply & Drainage,Medium
A small leak in the water pipe near the park boundary.,Water Supply & Drainage,Low
Drinking water is being wasted in large amounts near the temple gate.,Water Supply & Drainage,High
Water is leaking from the joint of the main distribution line.,Water Supply & Drainage,Medium
Requesting the repair of the leaky standpost near the market.,Water Supply & Drainage,Low
Water is flooding the street after a pipe burst near the school bus stop.,Water Supply & Drainage,High
The water valve is leaking and causing a puddle on the driving lane.,Water Supply & Drainage,Medium
A minor leak in the water line near the residential entrance.,Water Supply & Drainage,Low
Water is spraying from the pipe near the flyover ramp.,Water Supply & Drainage,High
The connection to the distribution tank is leaking water near the park.,Water Supply & Drainage,Medium
Requesting a fix for the dripping tap in the school washroom.,Water Supply & Drainage,Low
Massive water leak near the bus terminal is causing delays.,Water Supply & Drainage,High
Water is leaking from the underground pipe near the metro station.,Water Supply & Drainage,Medium
A small leak in the pipe near the community park gate.,Water Supply & Drainage,Low
Drinking water is gushing out from the broken main near the toll gate.,Water Supply & Drainage,High
The pipe joint is leaking and wasting water near the industrial park.,Water Supply & Drainage,Medium
Slight leakage from the water meter near the community hall.,Water Supply & Drainage,Low
Water pipe has burst and is flooding the road near the city circle.,Water Supply & Drainage,High
"Entire row of streetlights is off near the highway, making the blind curve extremely dangerous.",Streetlight Issue,High
A single streetlight near the park entrance is flickering and should be checked.,Streetlight Issue,Low
"Main road lights have been out for three days, leading to a rise in chain-snatching incidents.",Streetlight Issue,High
Requesting an additional light pole for the dark corner of the residential lane.,Streetlight Issue,Low
Streetlight pole has been hit by a vehicle and is leaning dangerously over the road.,Streetlight Issue,High
"The light at the 4th Cross junction remains ON during the daytime, wasting electricity.",Streetlight Issue,Medium
Exposed wires are hanging from the base of the streetlight pole near the school.,Streetlight Issue,High
The LED bulb in the streetlight near the market is very dim and needs replacement.,Streetlight Issue,Medium
A few streetlights in the colony are being blocked by overgrown tree branches.,Streetlight Issue,Low
"All lights near the hospital emergency entrance are dark, causing chaos for ambulances.",Streetlight Issue,High
Streetlight timer is not synchronized; lights turn on very late in the evening.,Streetlight Issue,Medium
Broken glass cover on the streetlight is about to fall on the sidewalk.,Streetlight Issue,High
Short circuit in the streetlight junction box is causing sparks near the playground.,Streetlight Issue,High
One streetlight bulb has fused near the apartment parking gate.,Streetlight Issue,Low
Dark patch on the bypass road is making it difficult for drivers to see pedestrians.,Streetlight Issue,High
Streetlight pole is rusted at the base and might collapse during heavy winds.,Streetlight Issue,Medium
The automated light sensor is faulty; the light stays off even after sunset.,Streetlight Issue,Medium
Requesting a routine survey of non-functional lights in Ward 12.,Streetlight Issue,Low
"Streetlight near the metro pillar is blinking like a strobe light, distracting drivers.",Streetlight Issue,Medium
Complete blackout on the bridge is making nighttime commuting a nightmare.,Streetlight Issue,High
"Water has entered the streetlight casing, causing a frequent fuse blow.",Streetlight Issue,Medium
Small maintenance request to clean the dust-covered lenses of the streetlights.,Streetlight Issue,Low
Streetlight pole is vibrating excessively whenever heavy trucks pass by.,Streetlight Issue,Medium
"Lights are not working near the women’s hostel, creating a safety concern.",Streetlight Issue,High
The bracket holding the streetlight is loose and rattling in the wind.,Streetlight Issue,Medium
Requesting the installation of a new streetlight near the community well.,Streetlight Issue,Low
High-voltage fluctuations are causing streetlights to burn out frequently.,Streetlight Issue,High
Streetlight at the end of the dead-end street is not working.,Streetlight Issue,Low
Underground cable damage has caused all lights on the main road to fail.,Streetlight Issue,High
"The light pole near the temple gate is missing its access cover, exposing wires.",Streetlight Issue,Medium
Streetlight is shining directly into the bedroom windows of residents.,Streetlight Issue,Low
Pavement near the light pole has been dug up and wires are left open.,Streetlight Issue,High
The solar streetlight is not charging properly and stays on for only an hour.,Streetlight Issue,Medium
Requesting LED upgrade for the old yellow sodium lamps on our street.,Streetlight Issue,Low
Streetlight at the blind turn near the bypass has been broken for a month.,Streetlight Issue,High
The control panel for the streetlights is making a loud buzzing sound.,Streetlight Issue,Medium
Lights are working but the illumination is very poor on the highway.,Streetlight Issue,Medium
One out of every three lights on the ring road is non-functional.,Streetlight Issue,High
Streetlight pole is obstructed by a new commercial billboard.,Streetlight Issue,Low
"The light near the public toilet is off, making it unsafe to use at night.",Streetlight Issue,High
Frequent power trips are affecting the streetlighting in the industrial area.,Streetlight Issue,Medium
Requesting the relocation of a streetlight pole that is blocking a driveway.,Streetlight Issue,Low
Total darkness near the railway crossing is causing near-miss accidents.,Streetlight Issue,High
Streetlight bulb is buzzing and smells like burning plastic.,Streetlight Issue,High
The paint on the streetlight pole is peeling and looks untidy.,Streetlight Issue,Low
"Lights on the flyover are off, making it very dangerous for two-wheelers.",Streetlight Issue,High
The light pole near the park exit is slightly tilted after the storm.,Streetlight Issue,Medium
Requesting a repair for the fused bulb near the community hall entrance.,Streetlight Issue,Low
Streetlight circuit is leaking current to the pole; I got a shock today.,Streetlight Issue,High
Dark area near the bus stop is attracting anti-social elements.,Streetlight Issue,High
Streetlight sensor turns the light off whenever a tall truck passes by.,Streetlight Issue,Low
Cable for the streetlights is hanging low enough to touch pedestrians.,Streetlight Issue,High
"The light near the bank ATM is out, making it risky for customers.",Streetlight Issue,High
Streetlight at the circle is only working on one side.,Streetlight Issue,Medium
Requesting more frequent inspection of the lights near the cemetery.,Streetlight Issue,Low
"Lights near the vegetable market are out, affecting evening business.",Streetlight Issue,Medium
Streetlight pole is blocking the footpath for wheelchair users.,Streetlight Issue,Medium
The light near my gate has a broken glass cover.,Streetlight Issue,Low
High mast light at the main junction has all bulbs fused.,Streetlight Issue,High
Streetlight is flickering every time there is a light breeze.,Streetlight Issue,Medium
Dark patch near the school crossing is dangerous for students at 6 PM.,Streetlight Issue,High
Requesting a higher wattage bulb for the streetlight near the playground.,Streetlight Issue,Low
Streetlight pole has been vandalized and the wires are stolen.,Streetlight Issue,High
The light stays on 24 hours a day due to a faulty timer.,Streetlight Issue,Medium
Small maintenance request for the light near the post office.,Streetlight Issue,Low
Entire residential block is in darkness due to a faulty streetlight transformer.,Streetlight Issue,High
Streetlight near the water tank is glowing very dimly.,Streetlight Issue,Medium
The light pole is missing its base bolts and is shaking.,Streetlight Issue,High
Requesting a new streetlight for the back alley of the market.,Streetlight Issue,Low
Lights on the expressway are off for a 2km stretch.,Streetlight Issue,High
Streetlight bulb is shattered and glass is scattered on the road.,Streetlight Issue,Medium
One streetlight is working but the other five on the street are off.,Streetlight Issue,Medium
Requesting to trim trees that are completely hiding the streetlight.,Streetlight Issue,Low
Streetlight near the police station is out.,Streetlight Issue,Medium
Exposed wiring at the top of the pole is causing sparks.,Streetlight Issue,High
Dark spots in the park are making it unsafe for evening walkers.,Streetlight Issue,Medium
Requesting a light near the community garbage dump.,Streetlight Issue,Low
Total darkness on the service road is causing accidents.,Streetlight Issue,High
Streetlight pole is bent after a truck hit it last night.,Streetlight Issue,High
The light near the library is very yellow and provides no vision.,Streetlight Issue,Low
High mast light is swaying dangerously during the high winds.,Streetlight Issue,High
Streetlight is turning on and off every five minutes.,Streetlight Issue,Medium
Requesting an inspection of the streetlighting in the new layout.,Streetlight Issue,Low
Lights near the railway station exit are all non-functional.,Streetlight Issue,High
Streetlight pole is covered in illegal posters and wires.,Streetlight Issue,Low
"The light near the pharmacy is out, making the area very dark.",Streetlight Issue,Medium
"Streetlight at the intersection is dark, causing confusion for drivers.",Streetlight Issue,High
Requesting a brighter LED for the narrow residential lane.,Streetlight Issue,Low
Underground wiring for the streetlights is exposed after road work.,Streetlight Issue,High
The light pole near the primary school is sparking.,Streetlight Issue,High
One streetlight bulb is missing from the holder.,Streetlight Issue,Low
Complete failure of streetlights on the bridge is very scary.,Streetlight Issue,High
The light near the community garden is flickering constantly.,Streetlight Issue,Medium
Requesting a survey of the broken lights in the industrial ward.,Streetlight Issue,Low
Total blackout in the colony due to streetlight feeder failure.,Streetlight Issue,High
Streetlight pole is leaning towards the residential building.,Streetlight Issue,High
The light near the temple is too dim to see anything.,Streetlight Issue,Low
High mast light bulbs are all burnt out.,Streetlight Issue,High
Streetlight is not working since the recent heavy rain.,Streetlight Issue,Medium
Requesting a repair for the fused light near the bus stand.,Streetlight Issue,Low
Dark road near the bypass is a major safety hazard for bikers.,Streetlight Issue,High
Streetlight bulb is hanging by a wire from the pole.,Streetlight Issue,High
The light near the ATM is very dim.,Streetlight Issue,Low
All streetlights on MG road are off today.,Streetlight Issue,High
Streetlight pole is missing its maintenance window cover.,Streetlight Issue,Medium
Requesting a new light for the entrance of the slum area.,Streetlight Issue,High
Streetlight is working but the light is directed upwards.,Streetlight Issue,Low
Entire row of lights near the airport road is dark.,Streetlight Issue,High
Streetlight near the hospital is blinking rapidly.,Streetlight Issue,Medium
Requesting a check on the light near the park fountain.,Streetlight Issue,Low
Dark patch on the flyover is causing bikers to skid.,Streetlight Issue,High
Streetlight pole is rusted and looks like it will fall.,Streetlight Issue,Medium
The light near the post office is fused.,Streetlight Issue,Low
Total darkness in the market area after 7 PM.,Streetlight Issue,High
Streetlight is sparking whenever it rains.,Streetlight Issue,High
Requesting a more efficient light for the lane.,Streetlight Issue,Low
High mast light is not working at the main signal.,Streetlight Issue,High
Streetlight pole is tilted after the construction work.,Streetlight Issue,Medium
The light near the library gate is out.,Streetlight Issue,Low
Streetlight circuit is tripping the main house power.,Streetlight Issue,High
Dark area near the women's clinic is unsafe.,Streetlight Issue,High
Requesting the cleaning of the streetlight glass.,Streetlight Issue,Low
Streetlight near the bus terminal is broken.,Streetlight Issue,Medium
Wires are hanging from the light pole on the sidewalk.,Streetlight Issue,High
Dark road near the university is dangerous for students.,Streetlight Issue,High
Streetlight near the temple is blinking.,Streetlight Issue,Medium
Requesting a routine maintenance of colony lights.,Streetlight Issue,Low
Total blackout on the service road.,Streetlight Issue,High
Streetlight pole is leaning over the high-tension wires.,Streetlight Issue,High
The light near the park bench is fused.,Streetlight Issue,Low
High mast light is completely off.,Streetlight Issue,High
Streetlight is turning on very late in the night.,Streetlight Issue,Medium
Requesting a repair for the light near the school.,Streetlight Issue,Low
Dark patch on the ring road is causing accidents.,Streetlight Issue,High
Streetlight bulb is dangling dangerously.,Streetlight Issue,High
The light near the community center is dim.,Streetlight Issue,Low
All streetlights in the block are non-functional.,Streetlight Issue,High
Streetlight pole is missing the cover for wires.,Streetlight Issue,Medium
Requesting a new light for the dark alley.,Streetlight Issue,Medium
Streetlight is shining into the driver's eyes.,Streetlight Issue,Low
Entire stretch of the highway is dark.,Streetlight Issue,High
Streetlight near the pharmacy is flickering.,Streetlight Issue,Medium
Requesting a check for the light near the well.,Streetlight Issue,Low
Dark road near the bridge is very scary at night.,Streetlight Issue,High
Streetlight pole is bent due to the storm.,Streetlight Issue,Medium
The light near the post office entrance is out.,Streetlight Issue,Low
Streetlight circuit is causing a loud noise.,Streetlight Issue,Medium
Dark area near the school is a safety risk.,Streetlight Issue,High
Requesting the removal of the tree branch on the light.,Streetlight Issue,Low
Streetlight near the vegetable market is broken.,Streetlight Issue,Medium
Wires are exposed at the base of the light pole.,Streetlight Issue,High
Dark road near the hospital is dangerous.,Streetlight Issue,High
Streetlight near the temple is dim.,Streetlight Issue,Low
Requesting a survey of the streetlights in our ward.,Streetlight Issue,Low
Total blackout in the residential layout.,Streetlight Issue,High
Streetlight pole is shaking in the wind.,Streetlight Issue,Medium
The light near the park entrance is fused.,Streetlight Issue,Low
High mast light is not working at the junction.,Streetlight Issue,High
Streetlight is on during the day and off at night.,Streetlight Issue,Medium
Requesting a repair for the light near the shop.,Streetlight Issue,Low
Dark patch on the bypass is causing near-misses.,Streetlight Issue,High
Streetlight bulb is hanging by a thin wire.,Streetlight Issue,High
The light near the community hall is very dim.,Streetlight Issue,Low
All streetlights on the bridge are off.,Streetlight Issue,High
Streetlight pole has exposed live wires.,Streetlight Issue,High
Requesting a new streetlight for the back road.,Streetlight Issue,Medium
Streetlight is flickering and making a popping sound.,Streetlight Issue,High
Entire residential lane has no working lights.,Streetlight Issue,High
Streetlight near the bank is out.,Streetlight Issue,Medium
Requesting a check for the fused light in the alley.,Streetlight Issue,Low
Dark road near the park is unsafe for women.,Streetlight Issue,High
Streetlight pole is leaning toward the road.,Streetlight Issue,Medium
The light near the library is very weak.,Streetlight Issue,Low
High mast light is flickering at the main circle.,Streetlight Issue,Medium
Streetlight is turning off randomly at night.,Streetlight Issue,Medium
Requesting a repair for the light near the gate.,Streetlight Issue,Low
Dark patch on the highway is causing vehicle crashes.,Streetlight Issue,High
Streetlight bulb is completely shattered inside the casing.,Streetlight Issue,Medium
The light near the ATM is not working at all.,Streetlight Issue,High
All streetlights near the railway station are off.,Streetlight Issue,High
Streetlight pole is missing several bolts.,Streetlight Issue,Medium
Requesting a new light for the dark intersection.,Streetlight Issue,Medium
Streetlight is shining through the bedroom window.,Streetlight Issue,Low
Entire flyover is in darkness.,Streetlight Issue,High
Streetlight near the clinic is flickering.,Streetlight Issue,Medium
Requesting a check on the light near the community hall.,Streetlight Issue,Low
Dark road near the school is very dangerous.,Streetlight Issue,High
Streetlight pole is tilted after the accident.,Streetlight Issue,Medium
The light near the park exit is out.,Streetlight Issue,Low
Streetlight circuit is humming very loudly.,Streetlight Issue,Medium
Dark area near the bus stop is a hazard.,Streetlight Issue,High
Requesting the trimming of the tree near the light.,Streetlight Issue,Low
Streetlight near the market is non-functional.,Streetlight Issue,Medium
Wires are sticking out from the light pole base.,Streetlight Issue,High
Dark road near the airport is dangerous.,Streetlight Issue,High
Streetlight near the temple gate is fused.,Streetlight Issue,Low
Requesting a routine maintenance of all lights in the area.,Streetlight Issue,Low
Total blackout on the main highway stretch.,Streetlight Issue,High
Streetlight pole is vibrating and making a noise.,Streetlight Issue,Medium
The light near the community garden entrance is out.,Streetlight Issue,Low
High mast light is completely non-functional at the junction.,Streetlight Issue,High
"A massive Banyan tree has fallen across the main highway, completely blocking all four lanes.",Treefall,High
"A small branch has fallen on the sidewalk near the park, blocking the walking path.",Treefall,Low
"A large tree has fallen on a parked car near the market, causing significant damage.",Treefall,High
Requesting the trimming of a dried branch that is hanging over the residential gate.,Treefall,Low
"A tree has collapsed onto the high-tension power lines, causing sparks and a local blackout.",Treefall,High
A medium-sized tree is leaning dangerously toward a house after the heavy rains.,Treefall,High
"Fallen branches are scattered across the service road, slowing down two-wheelers.",Treefall,Medium
A tree near the school gate has uprooted and is resting on the compound wall.,Treefall,High
Several small twigs and leaves have accumulated in the drain after the storm.,Treefall,Low
"A massive gulmohar tree has fallen near the hospital entrance, obstructing ambulances.",Treefall,High
A heavy branch is partially blocking the left lane of the flyover.,Treefall,Medium
A dead tree in the community garden looks like it might fall at any moment.,Treefall,Medium
A branch has snapped and is hanging by a thread over the sidewalk near the library.,Treefall,High
A small tree has fallen into the park's walking track; needs to be cleared.,Treefall,Low
"A large tree fell near the metro station, damaging the railing and obstructing the exit.",Treefall,High
"Roots of a large tree have damaged the pavement, causing a trip hazard.",Treefall,Medium
"A branch fell on the streetlight, breaking the glass and the bulb.",Treefall,Medium
Requesting the removal of a fallen coconut frond from the middle of the road.,Treefall,Low
"A tree has fallen across the narrow lane, making it impossible for cars to pass.",Treefall,High
A leaning tree near the transformer is a major safety risk during the monsoon.,Treefall,High
"A branch has fallen on the internet cables, causing a connectivity outage.",Treefall,Medium
Requesting the pruning of tree branches that are obstructing the view of a traffic signal.,Treefall,Medium
Small dry branches are falling frequently from the old tree near the post office.,Treefall,Low
"A tree has fallen into the open drain, causing a blockage and potential flooding.",Treefall,Medium
A massive tree uprooted by the wind is blocking the entrance to the apartment complex.,Treefall,High
A heavy branch fell on a moving auto-rickshaw; emergency assistance needed.,Treefall,High
A small tree has leaned over the fence of the public playground.,Treefall,Low
"A tree has fallen on the railway tracks near the crossing, stopping train movement.",Treefall,High
Fallen leaves and branches are making the road slippery for bikers.,Treefall,Medium
A large branch is blocking the entrance to the community hall.,Treefall,Medium
A tree near the bus stop has cracked and looks unstable.,Treefall,Medium
Requesting the removal of a small fallen tree from the backyard of the library.,Treefall,Low
"A tree has collapsed on a transformer, and the area is smelling of smoke.",Treefall,High
A fallen tree is obstructing the cycle track near the ring road.,Treefall,Medium
A branch fell and is resting on the balcony of a second-floor flat.,Treefall,Medium
Requesting the removal of a dead branch from the tree near the temple.,Treefall,Low
"A large tree fell across the road near the bridge, causing a massive traffic jam.",Treefall,High
A tree is leaning 45 degrees over the sidewalk after the cyclone.,Treefall,High
"A small branch fell near the park bench, no injuries reported.",Treefall,Low
A fallen tree has damaged the water supply pipe near the 5th Cross.,Treefall,High
A branch has fallen into the private garden from the roadside tree.,Treefall,Low
"A massive tree fell on the highway toll plaza, damaging the roof.",Treefall,High
"A tree trunk is lying on the side of the road, narrowing the driving space.",Treefall,Medium
A branch is touching the low-hanging electrical wires near the market.,Treefall,High
Requesting the clearing of a fallen hedge from the pedestrian path.,Treefall,Low
A tree fell and blocked the entrance to the police station.,Treefall,High
A heavy branch is swinging dangerously over the road in the wind.,Treefall,High
A small tree has uprooted in the median of the highway.,Treefall,Low
A tree has fallen on the boundary wall of the primary school.,Treefall,Medium
"A branch fell on the bonnet of a car, shattering the windshield.",Treefall,High
A tree is leaning toward the overhead tank in the colony.,Treefall,Medium
Requesting the removal of dried leaves and small branches from the street corner.,Treefall,Low
"A large tree fell across the bypass road at night, very hard to see.",Treefall,High
A branch is blocking the view of the 'One Way' sign.,Treefall,Medium
A fallen tree is submerged in the lake near the shore.,Treefall,Low
A tree has fallen and is leaning against another tree over the road.,Treefall,High
"A branch fell on a pedestrian, requesting an ambulance and cleanup.",Treefall,High
A small tree has fallen on the service road near the petrol pump.,Treefall,Medium
Requesting the pruning of the tree that is growing into the power lines.,Treefall,High
"A tree fell on the shed of the vegetable market, destroying it.",Treefall,High
"A branch has snapped but is stuck in the canopy, might fall anytime.",Treefall,Medium
Fallen branches are blocking the access to the public toilet.,Treefall,Medium
